question,answer,abs_id,Inquiry Type,Extra Condition,Investigation Target,biocategory,biosubcategory
"In the context of UDP-L-rhamnose biosynthesis, does the N-terminal region of the RHM2 protein (RHM2-N) exhibit inhibited enzymatic activity in the presence of UDP-L-rhamnose?",Yes,PMID:17190829,Normal,Natural,Single,Metabolism,Carbohydrate metabolism
"In the context of age-related cognitive impairment and Alzheimer's disease, do toxic forms of amyloid beta-peptide (Abeta) have the ability to induce an influx of calcium ions (Ca(2+)) into neurons through the mechanism of inducing membrane-associated oxidative stress?",Yes,PMID:18675468,Normal,Natural,Function,Human Diseases,Neurodegenerative disease
"In the context of human 3alpha-hydroxysteroid dehydrogenase (3alpha-HSD) isoforms of the aldo-keto reductase (AKR) superfamily, does the type 3 3alpha-HSD (AKR1C2) isoform possess the ability to oxidize testosterone to Delta(4)-androstene-3,17-dione in the oxidation direction?",No,PMID:10998348,Normal,Natural,Single,Metabolism,Lipid metabolism
"In the context of the mammalian molecular clock, does the basic helix-loop-helix transcription factor Dec1 repress the Clock/Bmal1-induced transactivation of the mouse Per1 promoter through direct protein-protein interactions with Bmal1 and/or competition for E-box elements?",Yes,PMID:12397359,Normal,Natural,Single,Organismal Systems,Environmental adaptation
"In the context of G protein signaling, is the atypical protein kinase C isoform, PKCzeta, capable of effectively phosphorylating the Gbeta subunit of G proteins?",No,PMID:14625081,Normal,Natural,Single,Human Diseases,Substance dependence
"In the context of Herpes simplex virus 1 (HSV-1) infection, does the tegument protein UL41 promote an increase in the accumulation of cyclic GMP-AMP synthase (cGAS) to enhance host recognition of viral DNA?",No,PMID:28077645,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of immune receptor signalling complexes, does the proteasomal degradation of HOIP, triggered by the Shigella flexneri type III secretion system effector E3 ligases IpaH1.4 and IpaH2.5, result in the irreversible inactivation of linear ubiquitination catalysed by the linear ubiquitin chain assembly complex (LUBAC)?",Yes,PMID:27572974,Normal,Natural,Single,Metabolism,Biosynthesis of other secondary metabolites
"In the context of 2-deoxystreptamine-containing aminoglycoside antibiotics (AGAs) biosynthesis, does the bifunctional 6'- and 6'''-oxidoreductase enzyme NeoQ possess the ability to oxidize the pseudodisaccharidic compound paromamine?",Yes,PMID:21689223,Normal,Natural,Single,Metabolism,Biosynthesis of other secondary metabolites
"In cells co-expressing the human cytomegalovirus (HCMV) US27 gene product and the endogenous human chemokine receptor CXCR4, does the presence of US27 lead to a decrease in CXCR4 receptor levels as detected by flow cytometry?",No,PMID:23490053,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In breast biopsy tissues from women with and without breast cancer, is the level of O-methylation for catechol estrogen (CE) higher in cases of breast carcinoma compared to controls without breast cancer, when analyzing the levels of various estrogen metabolites and catechol estrogen quinone-glutathione conjugates?",No,PMID:12727798,Normal,Natural,Function,Human Diseases,Cancer: overview
"In the context of monolignol biosynthesis in angiosperms, does 5-hydroxyconiferyl aldehyde exhibit inhibitory properties towards the methylation of 5-hydroxyferulate, as catalyzed by the enzyme caffeate O-methyltransferase (COMT)?",Yes,PMID:10692459,Normal,Natural,Single,Metabolism,Biosynthesis of other secondary metabolites
"In HEK293T cells stably transfected with relaxin family peptide receptor 1 (RXFP1), does an inhibitory pathway involving the G protein subunit GalphaoB play a role in modulating cyclic adenosine monophosphate (cAMP) accumulation in response to receptor activation?",Yes,PMID:16569707,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of estrogen receptor (ER) signaling, does the ERbeta subtype, when complexed with the natural hormone 17beta-estradiol, function as a transcriptional activator from an activator protein-1 (AP1) element?",No,PMID:9278514,Normal,Natural,Single,Organismal Systems,Endocrine system
"In U2OS-hGR osteosarcoma cells, does the glucocorticoid receptor (GR)-dependent mRNA expression of interferon regulatory factor 8 (IRF8) require the presence of both Mediator subunits MED1 and MED14 for its transcriptional regulation in response to dexamethasone?",Yes,PMID:16239257,Normal,Natural,Single,,
"In the Vibrio cholerae quorum-sensing circuit, does the nucleoid protein Fis directly regulate the expression of the master regulator HapR by binding to the promoters of the quorum regulatory RNAs (qrr) genes?",Yes,PMID:17181781,Normal,Natural,Single,Cellular Processes,Cellular community - prokaryotes
"In the context of kinetochore function and chromosome segregation, are the two microtubule-binding domains of Centromere protein F (CENP-F) necessary for the process of chromosome congression?",No,PMID:32207772,Normal,Natural,Function,,
"In the context of thiamin thiazole biosynthesis, can the thiazole synthase enzyme from Bacillus subtilis catalyze the formation of thiazole from a reaction involving glycine, NAD, and the cysteine residue (Cys205) of the thiazole synthase itself?",No,PMID:22616866,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
"In the context of cardiomyocyte function, does the presence of soluble Klotho in the systemic circulation have an inhibitory effect on the currents mediated by transient receptor potential canonical 6 (TRPC6) channels?",Yes,PMID:23212367,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In mouse cardiac fibroblasts, does the adipocyte-derived factor apelin exert an inhibitory effect on the Transforming growth factor-beta (TGF-beta)-mediated expression of the myofibroblast marker alpha-smooth muscle actin (alpha-SMA)?",Yes,PMID:22028387,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of a purified 94-kDa ceramidase enzyme isolated from the membrane fraction of mouse liver, does this enzyme possess the ability to hydrolyze GM1a?",No,PMID:10652340,Normal,Natural,Single,Metabolism,Lipid metabolism
"In breast biopsy tissues from women with and without breast cancer, are the levels of estrone and estradiol lower in those with breast carcinoma compared to those without breast cancer, when analyzing the tissues for various estrogen metabolites and catechol estrogen quinone-glutathione conjugates using HPLC with electrochemical detection?",No,PMID:12727798,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of renin release from juxtaglomerular cells in the afferent arterioles of the kidneys, does the activation of calcium-related pathways lead to an increase in renin release?",No,PMID:20936939,Normal,Natural,Function,Organismal Systems,Endocrine system
"In the context of yeast endocytosis and protein localization, is the syntaxin protein Pep12p necessary for the efficient targeting of the catalytic subunit of chitin synthase III (Chs3p) to the bud neck region of the cell?",No,PMID:9843576,Normal,Natural,Function,Genetic Information Processing,"Folding, sorting and degradation"
"In the enzymatic conversion of p-coumarate to p-hydroxybenzoate in cell-free extracts of Lithospermum erythrorhizon Sieb. et Zucc. cell cultures, does the presence of S-adenosylmethionine have an enhancing effect on the formation of p-hydroxybenzoate?",No,PMID:12232327,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
"In yeast, is the syntaxin protein Pep12p necessary for the ligand-induced internalization of the alpha factor receptor and its subsequent passage to the vacuole via Pep12p-containing membranes?",Yes,PMID:9843576,Normal,Natural,Function,Genetic Information Processing,"Folding, sorting and degradation"
"In the context of Shigella flexneri entry into host cells, does the phosphatase activity of the type III secreted effector IpgD play a role in the activation of the small GTPase ADP-ribosylation factor 6 (ARF6)?",Yes,PMID:25736891,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In the context of malaria parasite mitochondrial lipoylation, can the lipoate ligase 1 (LipL1) enzyme independently facilitate the lipoylation of the E2 subunit of branched chain amino acid dehydrogenase (BCDH) without requiring the presence of other proteins such as LipL2?",No,PMID:25116855,Normal,Natural,Single,Metabolism,Metabolism of cofactors and vitamins
"In the context of glutamate metabolism and amino acid translocation in young and old leaves of tobacco (Nicotiana tabacum L. cv Xanthi), does the assimilation of [15N]ammonium rely on the enzymatic activity of glutamate dehydrogenase (GDH; EC 1.4.1.2)?",No,PMID:16407450,Normal,Natural,Function,Metabolism,Carbohydrate metabolism
"In follicular thyroid cells, does the PAX8-PPARgamma fusion protein stimulate transcription from the thyroglobulin promoter, a key regulatory element in thyroid cell function and differentiation?",No,PMID:16179407,Normal,Natural,Single,Human Diseases,Cancer: specific types
"In breast biopsy tissues from women with and without breast cancer, are the levels of catechol estrogen quinone conjugates lower in those with breast carcinoma compared to those without breast cancer, when analyzing the presence and concentration of various estrogen metabolites and conjugates as potential biomarkers for breast cancer risk?",No,PMID:12727798,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of p75 neurotrophin receptor (p75NTR) signaling, does the neurotrophin receptor-interacting MAGE homolog (NRAGE) prevent the physical interaction between p75NTR and the tropomyosin receptor kinase A (TrkA) when nerve growth factor (NGF) is bound to p75NTR?",Yes,PMID:10985348,Normal,Natural,Interaction,Organismal Systems,Nervous system
"In the context of monobactam biosynthesis, can Agrobacterium radiobacter utilize cysteine as a sulfur source for the production of monobactams, similar to its ability to use inorganic sulfur?",No,PMID:6859838,Normal,Natural,Function,Metabolism,Biosynthesis of other secondary metabolites
"In the context of hepatitis B virus X protein (HBx) and its interaction with CREB-binding protein (CBP)/p300, is the phosphorylation of CREB by protein kinase A a necessary condition for the cooperative enhancement of CREB transcriptional activity by HBx and CBP/p300?",Yes,PMID:17158882,Normal,Natural,Interaction,Human Diseases,Infectious disease: viral
"In the context of ICAM-1 cross-linking on brain endothelial cells, are protein kinase Cs (PKCs) required for the tyrosine phosphorylation of the cytoskeleton-associated protein paxillin?",Yes,PMID:10975856,Normal,Natural,Single,Organismal Systems,Immune system
"In the context of human T-cell leukemia virus type 1 (HTLV-1) infection, does the Tax oncoprotein exhibit binding affinity for the p18ink4c protein, a member of the INK4 family of cyclin-dependent kinase inhibitors?",No,PMID:10388662,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of lipid A modification with 4-amino-4-deoxy-L-arabinose (L-Ara4N) in Escherichia coli, can the enzyme ArnC convert non-formylated UDP-L-Ara4N sugar nucleotide to an undecaprenyl phosphate-linked form in vitro?",No,PMID:15695810,Normal,Natural,Single,Metabolism,Carbohydrate metabolism
"In mammalian cells, does the bulk of the endoplasmic reticulum (ER) exhibit high levels of choline exchange activity, a characteristic substrate specificity of phosphatidylserine synthase-1 (PSS1), when compared to mitochondria-associated membranes (MAM)?",No,PMID:10938271,Normal,Natural,Function,Metabolism,Lipid metabolism
"In the context of parathyroid hormone (PTH) gene regulation, does 1,25-Dihydroxyvitamin D3 (1,25(OH)(2)D(3)) have a stimulatory effect on the expression of the PTH gene in cells that endogenously express PTH and parathyroid-related genes?",No,PMID:20558332,Normal,Natural,Single,Organismal Systems,Endocrine system
"In E. coli cells proficient in secretion, is the elongation arrest of SecM translation necessary for the constitutive expression of the protein translocation ATPase SecA?",Yes,PMID:15063851,Normal,Natural,Single,Genetic Information Processing,"Folding, sorting and degradation"
"In the context of CSF3R (colony-stimulating factor 3 receptor) trafficking and signalling, does the deubiquitinating enzyme DUB2 lead to a decrease in the duration of CSF3R signalling?",No,PMID:21155715,Normal,Natural,Interaction,Environmental Information Processing,Signaling molecules and interaction
"In the context of Enteropathogenic Escherichia coli (EPEC) infection, does the interaction between the Translocated-intimin receptor (Tir) effector and TNFalpha receptor-associated factor (TRAF) adaptor proteins induce their degradation through a proteasomal-dependent pathway?",No,PMID:22144899,Normal,Natural,Function,Human Diseases,Infectious disease: bacterial
"In yeast, does the syntaxin family member Tlg1p play a necessary role in the ligand-induced internalization of the alpha factor receptor and its subsequent passage to the vacuole?",No,PMID:9843576,Normal,Natural,Function,Genetic Information Processing,"Folding, sorting and degradation"
"In the context of glucose-stimulated insulin secretion in beta-cells, does the amplifying pathway, which serves to optimize the secretory response to glucose and nonglucose stimuli, involve the participation of long-chain acyl-CoAs?",No,PMID:11078440,Normal,Natural,Function,Human Diseases,Endocrine and metabolic disease
"In GnRH-secreting neuronal cell lines (GT1-7 and GN11), does 17beta-estradiol have a positive regulatory effect on gonadotropin-releasing hormone (GnRH) mRNA levels, when considering the impact of kisspeptin treatment on GnRH secretion and mRNA modulation through intracellular signaling pathways?",No,PMID:19576263,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of Epstein-Barr virus (EBV) infection and cell cycle regulation, does the MRPS18-2 protein competitively inhibit the binding of E2F1 to the retinoblastoma protein (pRb) by targeting the same interaction site within the small pocket of pRb?",Yes,PMID:18391203,Normal,Natural,Interaction,Human Diseases,Cancer: overview
"In the context of viral oncogenesis, does the Epstein-Barr virus (EBV) BZLF1 protein directly bind to and induce the degradation of the tumor suppressor protein p53?",Yes,PMID:29932446,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In neuroblastoma (NB) cells, does the expression of polycomb protein Bmi1 lead to an increase in the expression of tumor suppressor TSLC1?",No,PMID:20190806,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of stem cell factor (SCF) receptor signaling, does the binding of SCF to its receptor lead to the activation of phosphatidylinositol-specific phospholipase C (PLC)?",No,PMID:9310372,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the context of polycyclic aromatic hydrocarbon (PAH) metabolism, do many human aldo-keto reductases (AKRs) fail to catalyze the NADPH-dependent reduction of the o-quinone products to air-sensitive catechols, thereby potentially exacerbating reactive oxygen species (ROS) formation?",No,PMID:25279998,Normal,Natural,Function,Human Diseases,Cancer: overview
"In the context of prion diseases, does the interaction between aggregated beta-PrP and the 20S core particle of the 26S proteasome lead to a reduction in the basal peptidase activity of the 20S proteasome?",Yes,PMID:21743439,Normal,Natural,Single,Human Diseases,Neurodegenerative disease
"In the context of Yersinia infection, does the binding of YopJ to the mitogen-activated protein kinase (MAPK) kinases (MKKs) prevent the activation of these MKKs by blocking their phosphorylation?",Yes,PMID:10489373,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In the context of amyotrophic lateral sclerosis (ALS) research, have biochemical and morphological abnormalities in mitochondria been identified in the postmortem spinal cords of patients diagnosed with ALS?",Yes,PMID:16372325,Normal,Natural,Function,Human Diseases,Neurodegenerative disease
"In the context of postmortem tissue analysis, is the expression of NR2C subunit transcripts elevated in the thalamus of individuals with schizophrenia compared to controls?",No,PMID:14684436,Normal,Natural,Single,Organismal Systems,Nervous system
"In the context of Salmonella enterica infection, does the binding of the type 3 secreted effector SopD2 to the host regulatory GTPase Rab7 result in a limitation of Rab7's interaction with its dynein-binding effector RILP?",Yes,PMID:26299973,Normal,Natural,Interaction,Human Diseases,Infectious disease: bacterial
"In the context of Staphylococcus aureus immune evasion, does the inhibition of convertase cleavage of complement C5 by the SSL7 protein require the presence and binding of Immunoglobulin A (IgA)?",Yes,PMID:20133685,Normal,Natural,Function,Human Diseases,Infectious disease: bacterial
"In the context of efferocytosis by mouse-resident peritoneal macrophages, do apoptotic cells stimulate the phosphorylation of IkappaB, a key component of the NF-kappaB signaling pathway?",No,PMID:30846565,Normal,Natural,Single,Cellular Processes,Transport and catabolism
"In the context of the UhpABC regulatory system in enterobacteria, does the presence of inorganic phosphate impact the glucose 6-phosphate-dependent activation of the response regulator UhpA, which is mediated by the membrane-bound sensor UhpC and the histidine-protein kinase UhpB?",Yes,PMID:12107138,Normal,Natural,Interaction,Environmental Information Processing,Signal transduction
"In the progression of adenocarcinoma of the lung, is HER2 gene amplification detectable in atypical adenomatous hyperplasia (AAH) when examined by chromogenic in situ hybridisation (CISH) using paraffin wax embedded tissues?",No,PMID:16189154,Normal,Natural,Single,Human Diseases,Cancer: specific types
"In the context of nitrate regulation of anaerobic respiratory gene expression, does nitrite serve as a potent signal for the NarL-dependent induction pathway, as compared to its role in NarP-dependent induction?",No,PMID:8501030,Normal,Natural,Single,Environmental Information Processing,Signal transduction
"In the preoptic area (POA) of adult male mice, does the local application of gonadotropin-inhibitory hormone effectively block the GnRH secretion induced by kisspeptin?",Yes,PMID:25314270,Normal,Natural,Function,Organismal Systems,Endocrine system
"In the context of renin-producing juxtaglomerular cells (JGCs), does an increase in cyclic adenosine monophosphate (cAMP) lead to the inhibition of renin release?",No,PMID:12949225,Normal,Natural,Function,Organismal Systems,Endocrine system
"In the context of kisspeptin signaling and its role in reproduction, does testosterone have an up-regulating effect on the expression of Kiss1 mRNA in the anteroventral periventricular nucleus (AVPV) of the forebrain?",Yes,PMID:16373418,Normal,Natural,Single,Organismal Systems,Endocrine system
"In the context of indole diterpene biosynthesis in Penicillium paxilli, does the cytochrome P450 monooxygenase encoded by the paxP gene have the ability to convert alpha-PC-M6 into 13-desoxypaxilline?",No,PMID:17428785,Normal,Natural,Single,Metabolism,Biosynthesis of other secondary metabolites
"In the context of immune response regulation, does the interaction between Immunity-Related GTPase M (IRGM) and the NLRP3 inflammasome components, including NLRP3 and ASC, hinder the assembly of the inflammasome complex?",Yes,PMID:30612879,Normal,Natural,Function,Organismal Systems,Immune system
"In the context of liver function and the regulation of portal circulation, do epoxyeicosatrienoic acids (EETs), specifically 11,12-EET, induce vasoconstriction of the porto-sinusoidal circulation?",Yes,PMID:14626496,Normal,Natural,Function,Metabolism,Lipid metabolism
"In the context of yeast exocytic pathway regulation, does the conserved modular TRAPP III complex function as a guanine nucleotide exchange factor (GEF) to activate the Ypt31 GTPase?",No,PMID:31400292,Normal,Natural,Single,,
"In the context of ghrelin signaling through the growth hormone secretagogue 1a (GHSR1a) receptor, does the accessory protein MRAP2 inhibit the recruitment and subsequent signaling of beta-arrestin in response to ghrelin stimulation?",Yes,PMID:31911434,Normal,Natural,Interaction,Organismal Systems,Endocrine system
"In the context of intestinal epithelial cells (IECs) infected with Yersinia enterocolitica, is the activation of the NLRP3 inflammasome possible in the absence of focal adhesion kinase, a key component of the focal adhesion complex signaling pathway?",No,PMID:24965773,Normal,Natural,Single,Human Diseases,Infectious disease: bacterial
"In the context of ubiquinone biosynthesis, can human decaprenyl diphosphate synthase subunit 1 (hDLP1) functionally complement the disrupted dlp1 gene in Schizosaccharomyces pombe (S. pombe)?",No,PMID:16262699,Normal,Natural,Single,Metabolism,Metabolism of terpenoids and polyketides
"In the context of Kaposi's sarcoma-associated herpesvirus (KSHV) infection, do the KSHV complement control protein (KCP) and factor I (FI) collectively facilitate the cleavage of iC3b to produce C3dg?",No,PMID:12645526,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of lipid-laden macrophage foam cell formation, does the polyphenol-rich fraction (PHC) derived from commonly consumed spices and herbs exert a suppressive effect on the production of tumor necrosis factor-alpha (TNF-alpha) in macrophages?",Yes,PMID:25869517,Normal,Natural,Single,Human Diseases,Cardiovascular disease
"In the context of protein-protein interactions involving the B subunit of the CCAAT binding protein NF-Y, does NF-YB specifically interact with the human papillomavirus E6 protein?",No,PMID:9032250,Normal,Natural,Interaction,Human Diseases,Infectious disease: viral
"In the context of bovine ovarian follicles, does insulin treatment lead to a decrease in the number of specific binding sites for tumor necrosis factor-alpha (TNFalpha) in granulosa cells, as measured through the binding of 125I-TNFalpha?",Yes,PMID:11408113,Normal,Natural,Interaction,Organismal Systems,Endocrine system
"In the context of atherosclerosis, particularly in advanced lesional macrophages, does prolonged activation of the endoplasmic reticulum (ER) stress pathway lead to the activation of inflammatory pathways?",Yes,PMID:20884885,Normal,Natural,Function,Human Diseases,Cardiovascular disease
"In the context of Staphylococcus aureus infection, does the secreted protein Sbi (Staphylococcus aureus binder of IgG) inhibit alternative pathway-mediated lyses of rabbit erythrocytes when exposed to human serum?",Yes,PMID:19112495,Normal,Natural,Function,Human Diseases,Infectious disease: bacterial
"In the context of Epstein-Barr virus (EBV) infection, does the EBV-encoded protein EBNA3C exert a suppressive effect on the regulation of p53 transcriptional activity mediated by the inhibitor of growth family protein ING5?",Yes,PMID:21177815,Normal,Natural,Interaction,Human Diseases,Cancer: overview
"In the context of hepatitis C virus (HCV) infection, does the nonstructural protein 5A (NS5A) interfere with the formation of the protein-protein complex between tumor suppressor protein p53 and TATA box binding protein (TBP)?",Yes,PMID:12379483,Normal,Natural,Interaction,Human Diseases,Cancer: overview
"In the context of hepatitis C virus (HCV) infection, does the interaction between the non-structural protein 3 (NS3) and core histones H2B and H4 alter the properties of these histones as substrates for phosphorylation mediated by cAMP-dependent protein kinase (PKA) and protein kinase C (PKC)?",Yes,PMID:10405893,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of hepatic gluconeogenesis, does insulin suppress the stimulation of gluconeogenic gene expression induced by peroxisome proliferative activated receptor-gamma co-activator 1 (PGC-1alpha) in hepatocytes?",Yes,PMID:12754525,Normal,Natural,Function,Organismal Systems,Endocrine system
"In the context of beta-adrenergic stimulation in the rat ventricular myocyte, does calcium autoregulation rapidly adapt to counteract potential increases in contractility resulting from protein kinase A-mediated phosphorylation of the ryanodine receptor?",Yes,PMID:15142747,Normal,Natural,Function,Organismal Systems,Circulatory system
"In Baf3/Flt3 cells stably expressing the human Flt3 receptor, does stimulation with Flt3 ligand (FL) lead to the activation of Janus kinases (Jaks)?",No,PMID:10974037,Normal,Natural,Single,,
"In the context of hepatitis C virus nonstructural protein 5A (NS5A) overexpression in HEK293 cells, does NS5A have an impact on the MEKK1 and IKKbeta-dependent activation of nuclear factor kappaB (NF-kappaB)?",No,PMID:11821416,Normal,Natural,Interaction,Metabolism,Biosynthesis of other secondary metabolites
"In the context of SARS-CoV-2 infection, does the ORF6 protein inhibit the downstream signaling pathway of type I interferon (IFN) in host cells?",Yes,PMID:32733001,Normal,Natural,Function,Human Diseases,Infectious disease: viral
"In the context of prion diseases, does the activation of casein kinase 2 (CK2) play a role in the toxic effect elicited by cellular prion protein (PrPc) on fast axonal transport (FAT) in neurons?",Yes,PMID:29261664,Normal,Natural,Function,Human Diseases,Neurodegenerative disease
"In pancreatic acinar cells, does the neurotransmitter acetylcholine mobilize calcium ions (Ca2+) exclusively from the endoplasmic reticulum (ER) calcium store, when considering the spatiotemporal Ca2+ signals generated in response to different extracellular stimuli?",Yes,PMID:14660554,Normal,Natural,Single,Organismal Systems,Digestive system
"In the context of the strictosidine synthase enzyme isolated from Catharanthus roseus cell suspension cultures, is a cofactor required for the enzyme to catalyze the synthesis of 3-alpha(S)-strictosidine from tryptamine and secologanin?",No,PMID:510306,Normal,Natural,Single,Metabolism,Biosynthesis of other secondary metabolites
"In the context of measles virus (MV) infection, does the MV V protein effectively prevent the activation of the melanoma differentiation-associated protein 5 (MDA5) pathway?",Yes,PMID:22072748,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of amyloid-beta (Abeta) and prion (PrP) peptide-induced endoplasmic reticulum (ER) Ca2+ release in cortical neurons, does the Ca2+ released from the ER contribute to the accumulation of reactive oxygen species (ROS)?",Yes,PMID:18420416,Normal,Natural,Function,Human Diseases,Neurodegenerative disease
"In the context of Kaposi's sarcoma-associated herpesvirus (KSHV) infection, does the activation of phosphatidylinositol-3'-OH-kinase (PI3K) by the KSHV K1 protein lead to the inactivation of the proapoptotic protein glycogen synthase kinase-3 (GSK-3) in endothelial cells?",Yes,PMID:16585191,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of carotenoid biosynthesis, does the lycopene cyclase enzyme, encoded by the crtL gene in the cyanobacterium Synechococcus sp strain PCC7942, possess the ability to cyclize zeta-carotene?",No,PMID:7919981,Normal,Natural,Function,Metabolism,Metabolism of terpenoids and polyketides
"In the context of Trypanosoma cruzi infection, does the invasion of host cells by this protozoan parasite require the process of actin polymerization within the host cell?",No,PMID:16175174,Normal,Natural,Function,Human Diseases,Infectious disease: parasitic
"In human leukocytes permissive for Human herpesvirus-6A (HHV-6A) infection, does the expression of the betachemokine-receptor U51A result in the down-regulation of CCL5 during the peak U51A expression period following infection?",Yes,PMID:18286574,Normal,Natural,Single,Environmental Information Processing,Signaling molecules and interaction
"In the context of alcoholic liver disease, does the activation of Toll-like receptor 4 (TLR4) signaling in hepatic stellate cells contribute to the promotion of liver fibrosis?",Yes,PMID:21252049,Normal,Natural,Function,Human Diseases,Endocrine and metabolic disease
"In the cyanobacterium Gloeobacter violaceus PCC 7421, do plant-type desaturases (CrtP and CrtQ) play a role in the production of lycopene within the carotenoid biosynthetic pathway?",No,PMID:15811329,Normal,Natural,Single,Metabolism,Metabolism of terpenoids and polyketides
"In the context of apramycin biosynthesis, is the AprD4/AprD3 enzyme system capable of catalyzing the deoxygenation of oxyapramycin, an apramycin analogue containing a C3 hydroxyl group on the octose moiety?",No,PMID:27120352,Normal,Natural,Function,Metabolism,Biosynthesis of other secondary metabolites
"In the context of the biosynthesis of monoterpenoid indole alkaloids in Madagascar periwinkle (Catharanthus roseus G. Don), are the turnover rates for Acetyl-coenzyme A and deacetylvindoline of recombinant minovincinine-19-O-acetyltransferase (rMAT) greater than those of recombinant deacetylvindoline-4-O-acetyltransferase (rDAT)?",No,PMID:11154328,Normal,Natural,Function,Metabolism,Biosynthesis of other secondary metabolites
"In the context of prostate cancer progression, does the TMPRSS2/ERG fusion protein exhibit direct binding to the promoter region of the ZEB2 gene?",No,PMID:21747944,Normal,Natural,Single,Human Diseases,Cancer: specific types
"In the context of Burkholderia strain JT 1500's degradation pathway of 2-naphthoate, can the diol (1R,2S)-cis-1,2-Dihydro-1,2-dihydroxy-2-naphthoate undergo transformation when exposed to cell extracts of this bacterial strain?",No,PMID:8981987,Normal,Natural,Function,Metabolism,Xenobiotics biodegradation and metabolism
"In the context of a chronic model of proliferative nephritis, does the transcription factor interferon regulatory factor-1 (IRF1) play a crucial role in facilitating sustained macrophage accumulation within the renal tissue?",Yes,PMID:23623383,Normal,Natural,Function,Environmental Information Processing,Signal transduction
"In the context of carotenoid biosynthesis, does the protein encoded by the slr0088 open reading frame in Synechocystis sp. PCC 6803 exhibit desaturase activity when utilizing zeta-carotene as a substrate?",No,PMID:9092504,Normal,Natural,Single,Metabolism,Metabolism of terpenoids and polyketides
"In human vascular endothelial cells, does the synstatin (SSTN) peptide, which disrupts the interaction between syndecan-1 (Sdc1) and the alpha(v)beta(3) and alpha(v)beta(5) integrins, inhibit angiogenesis in an in vitro setting?",Yes,PMID:19255147,Normal,Natural,Function,Human Diseases,Cancer: overview
"In the context of 1,2-Dichloroethane (EDC) exposure, does an increase in the expression of cytochrome P450 (CYP450) enzymes result in a corresponding increase in the frequency of chromosomal aberrations?",Yes,PMID:21255676,Normal,Natural,Function,Human Diseases,Cancer: overview
"In the context of ubiquitin-mediated proteolysis, can the CDK-bound substrate p27Kip1 be recognized for ubiquitination by the protein ubiquitin ligase (E3) SCF(Skp2) in the absence of Cks1?",No,PMID:11463388,Normal,Natural,Single,Human Diseases,Cancer: overview
"In the context of dienoyl-CoA metabolism in strictly anaerobic bacteria, such as Geobacter metallireducens and Syntrophus aciditrophicus, does the dienoyl-CoA hydratase enzyme exhibit significant catalytic activity with cyclohex-1-ene-1-carbonyl-CoA as a substrate?",No,PMID:17122342,Normal,Natural,Single,Metabolism,Xenobiotics biodegradation and metabolism
"In the context of human peripheral blood mononuclear cells (PBMCs) expressing the p12(I) protein encoded by the human T-lymphotropic virus type 1 (HTLV-1), can p12(I) alone induce an increase in cellular proliferation in the absence of T-cell receptor stimulation?",No,PMID:11468184,Normal,Natural,Function,Environmental Information Processing,Signaling molecules and interaction
"In the context of age-related cognitive impairment and Alzheimer's disease, do toxic forms of amyloid beta-peptide (Abeta) have the ability to induce calcium (Ca(2+)) influx into neurons through the formation of an oligomeric pore in the neuronal membrane?",Yes,PMID:18675468,Normal,Natural,Function,Human Diseases,Neurodegenerative disease
"In human immunodeficiency virus type 1 (HIV-1)-infected cells, does the presence of the Vpu protein lead to a marked reduction in HIV-mediated NF-kappaB activation compared to cells producing Vpu-defective virus?",Yes,PMID:11278695,Normal,Natural,Single,Human Diseases,Infectious disease: viral
"In the context of lysine biosynthesis in Thermus thermophilus, does the amino group of alpha-aminoadipate (AAA) undergo modification through attachment to the gamma-carboxyl group of the C-terminal glutamate residue (Glu54) of the small protein LysW?",Yes,PMID:19620981,Normal,Natural,Single,Metabolism,Amino acid metabolism
"In human hepatocytes, does tumor necrosis factor-alpha (TNF-alpha) mediated activation of neutral sphingomyelinase (N-SMase) lead to the induction of programmed cell death (apoptosis)?",No,PMID:11001563,Normal,Natural,Function,Environmental Information Processing,Signal transduction
